ISIN,Company,BBG Ticker,Sector,Industry,Country,Region,MarketCap,SustainEx,NZAF,MSCI,ENERGY_CONSUMP_INTEN_USD,WATER_WD_INTEN_RECENT,CARBON_EMISSIONS_SCOPE_12_INTEN,HAS_COMMITTED_TO_SBTI_TARGET,HAS_SBTI_APPROVED_TARGET,SUST_BIODIV_PROTECT_POL_VALUE,TARGET_SUMMARY_CUM_CHANGE_2030,SBTI_NET_ZERO_TARGET_STATUS,Average Employee Length of service,Microfinance Impact Investment,Supplier ESG training
US1264081035,Csx Corporation,US1264081035,Industrials,Ind. Goods & Services,United States,N America,64139.18,,,,1.21,150.07,286.77,0.00,1.00,0.00,-6.90,0.00,15.00,,0.00
US1270971039,Coterra Energy Inc.,US1270971039,Energy,Energy,United States,N America,18400.54,,,,0.40,,180.32,0.00,0.00,0.00,,0.00,,,1.00
CA5592224011,Magna International Inc.,CA5592224011,Consumer Discretion,Automobiles & Parts,Canada,N America,11893.90,,,,0.13,150.18,46.31,0.00,1.00,0.00,-29.84,1.00,,,1.00
US8326964058,The J. M. Smucker Company,US8326964058,Consumer Staples,"Food, Bev. and Tobacc",United States,N America,12430.38,,,,0.20,332.97,45.00,0.00,1.00,0.00,-1.58,0.00,,,1.00
US8425871071,The Southern Company,US8425871071,Utilities,Utilities,United States,N America,97271.19,,,,6.21,110789.17,3148.14,0.00,0.00,0.00,-4.27,0.00,15.00,,0.00
US78409V1044,S&P Global Inc.,US78409V1044,Financials,Financial Services,United States,N America,163389.10,,,,0.01,5.46,2.37,0.00,1.00,0.00,6.30,0.00,,,1.00
US5732841060,"Martin Marietta Materials, Inc.",US5732841060,Industrials,Construction & Mats,United States,N America,33302.67,,,,0.80,,849.70,1.00,0.00,0.00,2.77,1.00,,,0.00
US2371941053,"Darden Restaurants, Inc.",US2371941053,Consumer Discretion,Travel & Leisure,United States,N America,18414.67,,,,0.06,1692.60,79.90,0.00,0.00,0.00,,0.00,,,0.00
CA05534B7604,Bce Inc.,CA05534B7604,Telecommunications,Telecommunications,Canada,N America,30106.43,,,,0.13,60.39,13.70,0.00,1.00,0.00,-1.57,0.00,,,1.00
US8636671013,Stryker Corporation,US8636671013,Health Care,Health Care,United States,N America,135483.60,,,,0.04,,10.27,1.00,0.00,0.00,7.96,0.00,,,0.00
US0320951017,Amphenol Corporation,US0320951017,Technology,Technology,United States,N America,78953.13,,,,0.08,,32.31,0.00,0.00,0.00,7.73,0.00,,,1.00
US3030751057,Factset Research Systems Inc.,US3030751057,Financials,Financial Services,United States,N America,17377.04,,,,0.02,,6.45,0.00,0.00,0.00,6.78,0.00,,,0.00
US0010551028,Aflac Incorporated,US0010551028,Financials,Insurance,United States,N America,63428.57,,,,0.00,,0.60,0.00,0.00,0.00,-28.37,0.00,,,0.00
US25746U1097,"Dominion Energy, Inc.",US25746U1097,Utilities,Utilities,United States,N America,47165.11,,,,10.16,6192081.34,1959.10,0.00,0.00,0.00,-81.17,0.00,,,0.00
