ISIN,Company,BBG Ticker,Sector,Industry,Country,Region,MarketCap,SustainEx,NZAF,MSCI,ENERGY_CONSUMP_INTEN_USD,WATER_WD_INTEN_RECENT,CARBON_EMISSIONS_SCOPE_12_INTEN,HAS_COMMITTED_TO_SBTI_TARGET,HAS_SBTI_APPROVED_TARGET,SUST_BIODIV_PROTECT_POL_VALUE,TARGET_SUMMARY_CUM_CHANGE_2030,SBTI_NET_ZERO_TARGET_STATUS,Average Employee Length of service,Microfinance Impact Investment,Supplier ESG training
US1264081035,Csx Corporation,US1264081035,Industrials,Ind. Goods & Services,United States,N America,64139.18,,,,1.21,150.07,286.77,False,True,False,-6.9,False,15.0,,False
US1270971039,Coterra Energy Inc.,US1270971039,Energy,Energy,United States,N America,18400.54,,,,0.4,,180.32,False,False,False,,False,,,True
CA5592224011,Magna International Inc.,CA5592224011,Consumer Discretion,Automobiles & Parts,Canada,N America,11893.9,,,,0.13,150.18,46.31,False,True,False,-29.84,True,,,True
US8326964058,The J. M. Smucker Company,US8326964058,Consumer Staples,"Food, Bev. and Tobacc",United States,N America,12430.38,,,,0.2,332.97,45.0,False,True,False,-1.58,False,,,True
US8425871071,The Southern Company,US8425871071,Utilities,Utilities,United States,N America,97271.19,,,,6.21,110789.17,3148.14,False,False,False,-4.27,False,15.0,,False
US78409V1044,S&P Global Inc.,US78409V1044,Financials,Financial Services,United States,N America,163389.1,,,,0.01,5.46,2.37,False,True,False,6.3,False,,,True
US5732841060,"Martin Marietta Materials, Inc.",US5732841060,Industrials,Construction & Mats,United States,N America,33302.67,,,,0.8,,849.7,True,False,False,2.77,True,,,False
US2371941053,"Darden Restaurants, Inc.",US2371941053,Consumer Discretion,Travel & Leisure,United States,N America,18414.67,,,,0.06,1692.6,79.9,False,False,False,,False,,,False
CA05534B7604,Bce Inc.,CA05534B7604,Telecommunications,Telecommunications,Canada,N America,30106.43,,,,0.13,60.39,13.7,False,True,False,-1.57,False,,,True
US8636671013,Stryker Corporation,US8636671013,Health Care,Health Care,United States,N America,135483.6,,,,0.04,,10.27,True,False,False,7.96,False,,,False
